Date,Open,High,Low,Close,Adj Close,Volume
43102,24809.34961,24864.18945,24741.69922,24824.00977,24824.00977,341130000
43103,24850.44922,24941.91992,24825.55078,24922.67969,24922.67969,456790000
43104,24964.85938,25105.96094,24963.26953,25075.13086,25075.13086,403280000
43105,25114.91992,25299.78906,25112.00977,25295.86914,25295.86914,358020000
43108,25308.40039,25311.99023,25235.41016,25283,25283,341390000
43109,25312.05078,25439.7793,25308.41016,25385.80078,25385.80078,333490000
43110,25348.13086,25404.91992,25256.99023,25369.13086,25369.13086,341470000
43111,25398.59961,25575.41992,25396.18945,25574.73047,25574.73047,346830000
43112,25638.39063,25810.42969,25633.08008,25803.18945,25803.18945,376390000
43116,25987.61914,26086.11914,25702.99023,25792.85938,25792.85938,606520000
43117,25910.7793,26130.44922,25865.01953,26115.65039,26115.65039,522720000
43118,26149.55078,26153.41992,25947.32031,26017.81055,26017.81055,492780000
43119,25987.34961,26071.7207,25942.83008,26071.7207,26071.7207,585000000
43122,26025.32031,26215.23047,25974.65039,26214.59961,26214.59961,431200000
43123,26214.86914,26246.18945,26143.90039,26210.81055,26210.81055,433490000
43124,26282.07031,26392.80078,26106.93945,26252.11914,26252.11914,518790000
43125,26313.06055,26458.25,26259.7207,26392.78906,26392.78906,401390000
43126,26466.74023,26616.71094,26425.34961,26616.71094,26616.71094,477780000
43129,26584.2793,26608.90039,26435.33984,26439.48047,26439.48047,421000000
43130,26198.44922,26256.99023,26028.41992,26076.89063,26076.89063,448330000
43131,26268.16992,26338.0293,26050.98047,26149.39063,26149.39063,479130000
43132,26083.03906,26306.69922,26014.43945,26186.71094,26186.71094,410620000
43133,26061.78906,26061.78906,25490.66016,25520.96094,25520.96094,522880000
43136,25337.86914,25520.5293,23923.88086,24345.75,24345.75,714450000
43137,24085.16992,24946.23047,23778.74023,24912.76953,24912.76953,823940000
43138,24892.86914,25293.96094,24785.43945,24893.34961,24893.34961,504620000
43139,24902.30078,24903.67969,23849.23047,23860.46094,23860.46094,657500000
43140,23992.66992,24382.14063,23360.28906,24190.90039,24190.90039,735030000
43143,24337.75977,24765.16016,24290.48047,24601.26953,24601.26953,496610000
43144,24540.33008,24705.7207,24421.0293,24640.44922,24640.44922,374410000
43145,24535.82031,24925.94922,24490.35938,24893.49023,24893.49023,431160000
43146,25047.82031,25203.94922,24809.41992,25200.36914,25200.36914,416780000
43147,25165.93945,25432.41992,25149.25977,25219.38086,25219.38086,406730000
43151,25124.91016,25179.00977,24884.18945,24964.75,24964.75,421510000
43152,24988.06055,25267.99023,24792.99023,24797.7793,24797.7793,456070000
43153,24855.41016,25156.7207,24854.83008,24962.48047,24962.48047,378900000
43154,25050.50977,25313.91016,25028.73047,25309.99023,25309.99023,335420000
43157,25403.34961,25732.80078,25398.56055,25709.26953,25709.26953,473360000
43158,25735.7793,25800.34961,25407.83008,25410.0293,25410.0293,438390000
43159,25485.15039,25576.15039,25022.41992,25029.19922,25029.19922,451870000
43160,25024.03906,25185.34961,24442.56055,24608.98047,24608.98047,506280000
43161,24394.91016,24592.46094,24217.75977,24538.06055,24538.06055,437130000
43164,24471.31055,24961,24387.15039,24874.75977,24874.75977,383910000
43165,24965.89063,24995.24023,24708.41016,24884.11914,24884.11914,331770000
43166,24758.15039,24849.67969,24535.11914,24801.35938,24801.35938,394070000
43167,24853.41016,24950.49023,24703.05078,24895.21094,24895.21094,327300000
43168,25004.89063,25336.33008,25004.89063,25335.74023,25335.74023,371570000
43171,25372.43945,25449.15039,25152.01953,25178.60938,25178.60938,362580000
43172,25257.75,25376.40039,24947.5,25007.0293,25007.0293,447880000
43173,25086.9707,25130.11914,24668.83008,24758.11914,24758.11914,356830000
43174,24837.28906,25053.86914,24753.28906,24873.66016,24873.66016,316310000
43175,24877.33984,25031,24857.08984,24946.50977,24946.50977,654240000
43178,24893.68945,24893.68945,24453.14063,24610.91016,24610.91016,377990000
43179,24650.64063,24803.60938,24650.64063,24727.26953,24727.26953,342510000
43180,24723.49023,24977.65039,24655.40039,24682.31055,24682.31055,343230000
43181,24526.00977,24526.00977,23938.74023,23957.89063,23957.89063,439280000
