Date,Open,High,Low,Close,Adj Close,Volume
37987,1497.040039,1497.040039,1497.040039,1497.040039,1497.040039,0
37988,1492.723999,1526.244019,1491.69397,1517.192993,1517.192993,16600
37991,1516.796997,1568.814941,1516.697021,1568.353027,1568.353027,28600
37992,1568.899048,1589.083008,1557.927002,1574.522949,1574.522949,32600
37993,1574.102051,1594.996948,1565.087036,1587.203979,1587.203979,30600
37994,1587.45105,1616.57605,1582.880005,1610.125977,1610.125977,28400
37995,1612.390015,1618.764038,1579.686035,1581.465942,1581.465942,32000
37998,1579.875,1619.093994,1573.77002,1618.517944,1618.517944,23000
37999,1622.046997,1627.485962,1596.718018,1612.682983,1612.682983,26000
38000,1612.916016,1613.152954,1585.906006,1592.422974,1592.422974,20600
38001,1591.817993,1601.41394,1582.357056,1586.493042,1586.493042,18800
38002,1589.376953,1604.755981,1579.240967,1600.425049,1600.425049,20600
38005,1600.430054,1600.430054,1600.430054,1600.430054,1600.430054,0
38006,1600.430054,1600.430054,1600.430054,1600.430054,1600.430054,0
38007,1600.430054,1600.430054,1600.430054,1600.430054,1600.430054,0
38008,1600.430054,1600.430054,1600.430054,1600.430054,1600.430054,0
38009,1600.430054,1600.430054,1600.430054,1600.430054,1600.430054,0
38012,1600.430054,1600.430054,1600.430054,1600.430054,1600.430054,0
38013,1600.430054,1600.430054,1600.430054,1600.430054,1600.430054,0
38014,1600.430054,1600.430054,1600.430054,1600.430054,1600.430054,0
38015,1605.246948,1629.177979,1603.313965,1628.837036,1628.837036,18400
38016,1631.109985,1634.412964,1589.401001,1590.729004,1590.729004,24000
38019,1630.654053,1650.291016,1585.958008,1623.880005,1623.880005,34600
38020,1625.287964,1650.235962,1615.812988,1649.281982,1649.281982,26600
38021,1652.614014,1685.765015,1652.613037,1685.159058,1685.159058,32600
38022,1690.937988,1693.900024,1674.623047,1693.427979,1693.427979,32600
38023,1690.55896,1705.907959,1671.395996,1679.192993,1679.192993,32600
38026,1679.581055,1703.771973,1679.095947,1703.529053,1703.529053,26200
38027,1708.895996,1715.463989,1683.595947,1691.009033,1691.009033,27400
