Date,Open,High,Low,Close,Adj Close,Volume
43102,30028.28906,30515.31055,30028.28906,30515.31055,30515.31055,2442333400
43103,30658.73047,30724.32031,30456.75977,30560.94922,30560.94922,2309467700
43104,30691.71094,30796.92969,30560.42969,30736.48047,30736.48047,2995571100
43105,30893.85938,30911.00977,30638.5293,30814.64063,30814.64063,2263930100
43108,30895.08984,30929.15039,30732.53906,30899.5293,30899.5293,2004162500
43109,30933.50977,31056.69922,30852.42969,31011.41016,31011.41016,2004940800
43110,31009.24023,31267.57031,30928.58008,31073.7207,31073.7207,2595365800
43111,31066.21094,31133.17969,30950.07031,31120.39063,31120.39063,1794778900
43112,31298.05078,31412.53906,31198.35938,31412.53906,31412.53906,2327417400
43115,31702.56055,31733.17969,31265.25,31338.86914,31338.86914,2664144600
43116,31423.61914,31904.75,31423.61914,31904.75,31904.75,3097059200
43117,31825.51953,31983.41016,31642.26953,31983.41016,31983.41016,3999243800
43118,32148.44922,32233.81055,31869.69922,32121.93945,32121.93945,3741499700
43119,32142.16016,32254.89063,31986,32254.89063,32254.89063,2906627500
43122,32276.96094,32417.23047,32046.83984,32393.41016,32393.41016,2880231400
43123,32606.14063,32930.69922,32554.23047,32930.69922,32930.69922,3954770600
43124,32907.23047,33018.71094,32728.50977,32958.69141,32958.69141,3897512100
43125,32979.37891,32998.05078,32650.2207,32654.44922,32654.44922,3554766400
43126,32836.28125,33223.57813,32794.12891,33154.12109,33154.12109,3892652400
43129,33335.48047,33484.07813,32897.03906,32966.89063,32966.89063,3605090600
43130,32751.7207,32976.75,32501.34961,32607.28906,32607.28906,3177122400
43131,32435.75977,32933.98047,32330.39063,32887.26953,32887.26953,3314255500
43132,32950.30078,33048.03906,32642.08984,32642.08984,32642.08984,2769125200
43133,32569.00977,32778.51172,32321.41992,32601.7793,32601.7793,2571367100
43136,31715.56055,32394.86914,31712.01953,32245.2207,32245.2207,3135015100
43137,31028.67969,31286.0293,30577.83008,30595.41992,30595.41992,5531270100
43138,31378.34961,31472.4707,30292.15039,30323.19922,30323.19922,4620281500
43139,30555.80078,30739.10938,30251.32031,30451.26953,30451.26953,3145081200
43140,29679.21094,29679.21094,29129.25977,29507.41992,29507.41992,5171294500
43143,29713.08008,29801.51953,29459.63086,29459.63086,29459.63086,2815461600
43144,29850.15039,30169,29783.09961,29839.5293,29839.5293,2709197500
43145,30024.4707,30637.23047,29968.53906,30515.59961,30515.59961,2408651200
43146,30958.71094,31145.09961,30816.65039,31115.42969,31115.42969,2070618100
43151,31165.28906,31339.68945,30720.48047,30873.63086,30873.63086,2033432100
43152,31050.51953,31477.84961,30885.94922,31431.89063,31431.89063,1933845300
43153,31084.44922,31195.26953,30930.09961,30965.67969,30965.67969,2391326700
43154,31289.08008,31386.81055,31149.32031,31267.16992,31267.16992,1667179100
43157,31528.28906,31567.46094,31273.94922,31498.59961,31498.59961,2025591300
43158,31790.84961,31798.98047,31141.51953,31268.66016,31268.66016,2579124300
43159,31037.41016,31061.75977,30703.90039,30844.7207,30844.7207,2407877200
43160,30476.99023,31081.67969,30453.82031,31044.25,31044.25,2116269800
43161,30611.09961,30670.93945,30477.94922,30583.44922,30583.44922,2955637100
43164,30524.25977,30679.4707,29852.41992,29886.39063,29886.39063,2279546200
43165,30380.96094,30620.06055,30129.80078,30510.73047,30510.73047,2270403000
43166,30323.76953,30673.08008,30117.40039,30196.91992,30196.91992,2135337500
43167,30523.67969,30724.0293,30428.60938,30654.51953,30654.51953,1529390000
43168,30858.26953,30996.21094,30840.80078,30996.21094,30996.21094,1470749100
43171,31536.30078,31607.58008,31342.48047,31594.33008,31594.33008,2173275800
43172,31570.19922,31709.99023,31461.4707,31601.44922,31601.44922,2111965400
43173,31321.78906,31453.48047,31141.84961,31435.00977,31435.00977,1707584900
43174,31181.15039,31583.38086,31121.66016,31541.09961,31541.09961,1496758200
43175,31363.0293,31564.7793,31337.44922,31501.9707,31501.9707,2345452800
43178,31370.4707,31656.30078,31244.61914,31513.75977,31513.75977,1440844700
43179,31315.41992,31576.05078,31183.40039,31549.92969,31549.92969,1746878600
43180,31811.98047,31978.14063,31381.53906,31414.51953,31414.51953,2309098300
43181,31575.92969,31686.66992,31018.43945,31071.05078,31071.05078,2103533300
43182,29930.23047,30320.31055,29930.23047,30309.28906,30309.28906,3522395400
43185,30267.07031,30548.76953,29995.16016,30548.76953,30548.76953,2317282800
43186,30985.75,30985.75,30738.75977,30790.83008,30790.83008,2049855800
43187,30510.38086,30637.21094,30022.5293,30022.5293,30022.5293,2209028300
43188,30154.17969,30252.94922,29819.63086,30093.38086,30093.38086,2167328200
